Module,Lecture Number,Lecture Topic,Subtopics,Resources
Module 1,1,Introduction to Machine Learning,Definition history scope,"R1 Ch1; R2 Lec1; R5 Week1"
Module 1,2,Learning Paradigms I,Supervised unsupervised semi-supervised,"R1 Ch2; R2 Lec1; R3 Lec1"
Module 1,3,Learning Paradigms II,Online active reinforcement learning,"R1 Ch13; R7 Ch1; R2 RL Notes"
Module 1,4,Inductive Learning & Bias,Hypothesis space inductive bias,"R1 Ch2; R2 Lec4; R4 Sec1.5"
Module 1,5,Metric Learning & Problem Formulation,Distance similarity measures,"R2 Metric Notes; R4 Ch2"
Module 1,6,Bias-Variance Tradeoff,Overfitting underfitting,"R2 Lec4; R5 Week6"
Module 1,7,Data Representation & Preprocessing,Feature scaling normalization,"R6 Ch2; R2 Data Notes"
Module 1,8,ML Design Practices,ML pipeline evaluation,"R6 Ch1; R5 ML Strategy"
Module 1,9,Module 1 Review,Tutorial,"R1–R6"

Module 2,10,Linear Regression,Least squares,"R1 Ch4; R2 Lec2; R5 Week2"
Module 2,11,Logistic Regression,Sigmoid binary classification,"R2 Lec3; R4 Ch4"
Module 2,12,Gradient Descent & Delta Rule,Cost optimization,"R2 Lec2; R5 Week2"
Module 2,13,Perceptron,Single layer NN,"R1 Ch4; R2 Lec5"
Module 2,14,Multilayer Neural Networks,Architecture activations,"R2 Lec5; R8 Ch6"
Module 2,15,Backpropagation Derivation,Chain rule gradients,"R2 Lec5; R4 Ch5"
Module 2,16,Backpropagation Algorithm,NN training,"R8 Ch6; R9 Backprop Notes"
Module 2,17,Support Vector Machines,Max margin kernels,"R2 Lec6; R4 Ch7"
Module 2,18,Module 2 Review,Numericals,"R1–R9"

Module 3,19,Decision Trees,Entropy information gain,"R1 Ch3; R2 Lec7"
Module 3,20,Random Forests,Ensemble bagging,"R6 Ch7; R2 Ensemble Notes"
Module 3,21,Bayesian Classifier,Naive Bayes,"R1 Ch6; R4 Ch3"
Module 3,22,Clustering,K-means hierarchical,"R2 Lec8; R4 Ch9"
Module 3,23,Principal Component Analysis,Dimensionality reduction,"R2 Lec10; R4 Ch12"
Module 3,24,Graph-Based Methods,Graph representation,"R4 Ch8; R3 Graph Notes"
Module 3,25,Performance Metrics,Precision recall ROC,"R2 Eval Notes; R6 Ch3"
Module 3,26,Algorithm Comparison,Strengths limits,"R1 Summary Sections"
Module 3,27,Module 3 Review,Case studies,"R1–R6"

Module 4,28,Convergence & Generalization,Overfitting,"R2 Lec4; R8 Ch7"
Module 4,29,Regularization Techniques,L1 L2,"R2 Lec4; R4 Ch3"
Module 4,30,Loss Functions & Optimizers,SGD momentum,"R8 Ch6; R9 Optimizers"
Module 4,31,Feature Selection,Dimensionality issues,"R6 Ch4; R2 Feature Notes"
Module 4,32,Ensemble Learning,Bagging boosting,"R6 Ch7; R2 Ensemble Notes"
Module 4,33,Data Augmentation,Techniques,"R8 Ch7; R9 Regularization"
Module 4,34,ML for Control Applications,Adaptive RL control,"R7 Ch3; R10 IEEE Surveys"
Module 4,35,Forecasting & Anomaly Detection,Time series faults,"R11 Ch2; R6 Ch9"
Module 4,36,Course Wrap-Up,End-to-end ML pipeline,"R6 Ch1; R5 ML Strategy"
